age,attrition,business_travel,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager
30,False,Travel_Rarely,Research & Development,9,2,Medical,41,4,Male,2,1,Laboratory Technician,3,Single,2206.0,16117,1,False,13,3,1,10,5,3,10,0,1,8.0
43,False,Travel_Rarely,Research & Development,2,2,Unknown,46,4,Female,4,1,Research Scientist,3,Divorced,2645.0,21923,1,False,12,3,4,6,3,2,5,3,1,4.0
35,False,Travel_Rarely,Sales,2,3,Marketing,49,4,Female,3,1,Sales Representative,4,Married,2014.0,9687,1,False,13,3,1,2,3,3,2,2,2,2.0
36,False,Travel_Rarely,Research & Development,5,4,Life Sciences,51,2,Female,2,1,Research Scientist,1,Married,3419.0,13072,9,True,14,3,4,6,3,4,1,1,0,0.0
33,False,Travel_Frequently,Sales,1,3,Life Sciences,52,3,Female,4,2,Sales Executive,1,Married,5376.0,3193,2,False,19,3,1,10,3,3,5,3,1,3.0
35,False,Travel_Rarely,Research & Development,4,2,Other,53,3,Male,3,1,Laboratory Technician,4,Divorced,1951.0,10910,1,False,12,3,3,1,3,3,1,0,0,0.0
27,False,Travel_Rarely,Research & Development,2,4,Life Sciences,54,4,Female,3,1,Laboratory Technician,1,Divorced,2341.0,19715,1,False,13,3,4,1,6,3,1,0,0,0.0
27,False,Travel_Frequently,Sales,8,3,Life Sciences,56,4,Male,3,3,Sales Executive,3,Single,8726.0,2975,1,False,15,3,4,9,0,3,9,8,1,3.0
30,False,Travel_Frequently,Research & Development,1,2,Medical,57,3,Female,3,2,Laboratory Technician,4,Single,4011.0,10781,1,False,23,4,4,12,2,3,12,8,3,7.0
34,False,Non_Travel,Research & Development,23,4,Marketing,60,2,Male,3,2,Sales Executive,3,Single,4568.0,10034,0,False,20,4,3,10,2,3,9,5,8,7.0
37,False,Travel_Rarely,Research & Development,19,2,Life Sciences,61,2,Male,3,1,Research Scientist,2,Married,3022.0,10227,4,False,21,4,1,8,1,3,1,0,0,0.0
46,False,Travel_Frequently,Sales,5,4,Marketing,62,1,Male,3,2,Sales Executive,4,Unknown,5772.0,20445,4,True,21,4,3,14,4,3,9,6,0,8.0
35,False,Travel_Rarely,Research & Development,8,1,Life Sciences,63,4,Male,4,1,Laboratory Technician,4,Married,2269.0,4892,1,False,19,3,4,1,2,3,1,0,0,1.0
44,False,Travel_Rarely,Sales,1,5,Marketing,68,2,Female,3,2,Sales Executive,1,Divorced,5454.0,4009,5,True,21,4,3,9,2,2,4,3,1,3.0
35,False,Non_Travel,Research & Development,11,2,Medical,70,3,Male,2,3,Healthcare Representative,1,Married,9884.0,8302,2,True,13,3,3,10,3,3,4,0,2,3.0
26,False,Travel_Rarely,Sales,23,3,Marketing,72,3,Female,2,2,Sales Executive,4,Married,4157.0,21436,7,True,19,3,3,5,2,2,2,2,0,0.0
33,False,Travel_Frequently,Research & Development,1,2,Life Sciences,73,1,Female,3,3,Research Director,4,Single,13458.0,15146,1,True,12,3,3,15,1,3,15,14,8,12.0
35,False,Travel_Frequently,Sales,18,5,Life Sciences,74,2,Male,3,3,Sales Executive,1,Married,9069.0,11031,1,False,22,4,4,9,3,2,9,8,1,8.0
35,False,Travel_Rarely,Research & Development,23,4,Medical,75,3,Female,3,1,Laboratory Technician,1,Married,4014.0,16002,3,True,15,3,3,4,3,3,2,2,2,3.0
31,False,Travel_Rarely,Research & Development,7,4,Life Sciences,76,4,Male,3,2,Laboratory Technician,4,Divorced,5915.0,9528,3,False,22,4,4,10,3,2,7,7,1,7.0
37,False,Travel_Rarely,Research & Development,1,4,Life Sciences,77,1,Male,2,2,Manufacturing Director,3,Divorced,5993.0,2689,1,False,18,3,3,7,3,4,7,5,0,7.0
32,False,Travel_Rarely,Research & Development,1,3,Medical,78,1,Male,3,2,Manufacturing Director,4,Married,6162.0,10877,1,False,22,4,2,9,3,3,9,8,7,8.0
38,False,Travel_Frequently,Research & Development,29,5,Life Sciences,79,4,Female,3,2,Laboratory Technician,4,Single,2406.0,5456,1,False,11,3,4,10,2,3,10,3,9,9.0
50,False,Travel_Rarely,Research & Development,7,2,Medical,80,2,Female,2,5,Research Director,3,Divorced,18740.0,16701,5,True,12,3,4,29,2,2,27,3,13,8.0
37,False,Travel_Rarely,Sales,25,3,Life Sciences,81,1,Female,3,3,Sales Executive,3,Single,7637.0,2354,7,False,11,3,4,28,3,2,21,16,7,9.0
36,False,Travel_Rarely,Research & Development,8,3,Technical Degree,83,3,Female,3,3,Healthcare Representative,3,Divorced,10096.0,8202,1,False,13,3,2,17,2,3,17,14,12,8.0
55,False,Travel_Rarely,Research & Development,8,3,Medical,84,4,Female,3,4,Manager,3,Divorced,14756.0,19730,2,True,14,3,3,21,2,3,5,0,0,2.0
36,False,Travel_Frequently,Research & Development,11,3,Life Sciences,85,2,Male,2,2,Manufacturing Director,2,Single,6499.0,22656,1,False,13,3,3,6,3,3,6,5,0,3.0
45,False,Travel_Rarely,Research & Development,7,3,Life Sciences,86,2,Male,3,3,Research Scientist,1,Divorced,9724.0,18787,2,False,17,3,3,25,2,3,1,0,0,0.0
35,False,Travel_Frequently,Research & Development,1,3,Medical,88,2,Male,3,1,Research Scientist,1,Married,2194.0,5868,4,False,13,3,4,5,2,2,3,2,1,2.0
59,False,Travel_Frequently,Sales,1,1,Life Sciences,91,1,Female,2,2,Sales Executive,3,Single,5473.0,24668,7,False,11,3,4,20,2,2,4,3,1,3.0
29,False,Travel_Rarely,Research & Development,2,3,Life Sciences,94,3,Male,3,1,Research Scientist,2,Unknown,2703.0,4956,0,False,23,4,4,6,3,3,5,4,0,4.0
31,False,Travel_Rarely,Research & Development,1,4,Medical,95,3,Male,3,1,Research Scientist,3,Single,2501.0,18775,1,False,17,3,2,1,4,3,1,1,1,0.0
32,False,Travel_Rarely,Research & Development,1,3,Life Sciences,96,2,Male,3,2,Research Scientist,2,Married,6220.0,7346,1,False,17,3,2,10,3,3,10,4,0,9.0
36,False,Travel_Rarely,Research & Development,6,3,Life Sciences,97,2,Female,4,1,Laboratory Technician,4,Married,3038.0,22002,3,False,12,3,2,5,3,3,1,0,0,0.0
31,False,Travel_Rarely,Research & Development,8,4,Life Sciences,98,3,Female,3,2,Manufacturing Director,4,Single,4424.0,20682,1,False,23,4,4,11,2,3,11,7,1,8.0
35,False,Travel_Rarely,Sales,1,4,Marketing,100,3,Male,2,2,Sales Executive,1,Single,4312.0,23016,0,False,14,3,2,16,2,3,15,13,2,8.0
45,False,Travel_Rarely,Research & Development,6,4,Other,101,4,Male,3,3,Research Director,1,Married,13245.0,15067,4,False,14,3,2,17,3,4,0,0,0,0.0
37,False,Travel_Rarely,Research & Development,7,4,Medical,102,1,Male,3,3,Research Director,3,Single,13664.0,25258,4,False,13,3,1,16,3,4,5,2,0,3.0
46,False,Travel_Rarely,Human Resources,5,2,Medical,103,2,Male,3,2,Human Resources,2,Divorced,5021.0,10425,8,True,22,4,4,16,3,3,4,2,0,2.0
30,False,Travel_Rarely,Research & Development,1,1,Life Sciences,104,4,Male,2,2,Laboratory Technician,4,Married,5126.0,15998,1,True,12,3,3,10,1,2,10,8,3,0.0
35,False,Travel_Rarely,Research & Development,1,3,Medical,105,2,Male,2,1,Research Scientist,3,Single,2859.0,26278,1,False,18,3,1,6,3,3,6,4,0,4.0
55,False,Travel_Rarely,Sales,1,2,Life Sciences,106,1,Male,3,3,Sales Executive,4,Unknown,10239.0,18092,3,False,14,3,4,24,4,3,1,0,1,0.0
38,False,Non_Travel,Research & Development,6,3,Medical,107,2,Female,1,2,Research Scientist,4,Divorced,5329.0,15717,7,True,12,3,4,17,3,3,13,11,1,9.0
34,False,Travel_Rarely,Research & Development,1,2,Medical,110,1,Male,3,2,Manufacturing Director,2,Married,4325.0,17736,1,False,15,3,3,5,2,3,5,2,1,3.0
56,False,Travel_Rarely,Research & Development,7,3,Life Sciences,112,4,Male,1,3,Manufacturing Director,4,Single,7260.0,21698,4,False,11,3,1,37,3,2,6,4,0,2.0
23,False,Travel_Rarely,Sales,2,1,Technical Degree,113,3,Male,3,1,Sales Representative,1,Divorced,2322.0,9518,3,False,13,3,3,3,3,3,0,0,0,0.0
51,False,Travel_Rarely,Research & Development,9,4,Life Sciences,116,4,Male,3,1,Laboratory Technician,4,Married,2075.0,18725,3,False,23,4,2,10,4,3,4,2,0,3.0
30,False,Travel_Rarely,Research & Development,2,3,Life Sciences,117,3,Male,2,2,Healthcare Representative,4,Married,4152.0,15830,1,False,19,3,1,11,3,3,11,10,10,8.0
40,False,Travel_Frequently,Research & Development,1,4,Life Sciences,119,3,Male,2,4,Healthcare Representative,2,Married,13503.0,14115,1,False,22,4,4,22,3,2,22,3,11,11.0
37,False,Travel_Rarely,Sales,21,4,Marketing,120,3,Male,3,2,Sales Executive,4,Single,5441.0,8423,0,True,22,4,4,11,2,1,10,7,1,0.0
30,False,Travel_Rarely,Sales,4,2,Medical,121,3,Female,2,2,Sales Executive,2,Divorced,5209.0,19760,1,True,12,3,2,11,4,2,11,8,2,7.0
46,False,Travel_Frequently,Research & Development,1,3,Medical,124,3,Male,2,3,Healthcare Representative,1,Married,10673.0,3142,2,True,13,3,3,21,5,2,10,9,9,5.0
32,False,Travel_Rarely,Sales,6,4,Medical,125,2,Male,3,2,Sales Executive,3,Single,5010.0,24301,1,False,16,3,1,12,0,3,11,8,5,7.0
54,False,Travel_Rarely,Research & Development,2,4,Technical Degree,126,1,Female,3,3,Research Director,3,Married,13549.0,24001,9,False,12,3,1,16,3,1,4,3,0,3.0
24,False,Travel_Rarely,Sales,3,2,Other,128,1,Female,3,2,Sales Executive,3,Married,4999.0,17519,0,False,21,4,1,4,2,2,3,2,0,2.0
37,False,Non_Travel,Sales,4,3,Medical,129,2,Male,3,2,Sales Executive,3,Married,4221.0,8863,1,False,15,3,2,5,3,4,5,4,0,4.0
58,False,Travel_Rarely,Research & Development,10,4,Medical,131,4,Male,3,4,Sales Executive,3,Single,13872.0,24409,0,False,13,3,3,38,1,2,37,10,1,8.0
44,False,Non_Travel,Research & Development,23,3,Medical,132,2,Male,3,2,Laboratory Technician,2,Married,2042.0,25043,4,False,12,3,3,17,3,4,3,2,1,2.0
32,False,Travel_Rarely,Research & Development,1,1,Life Sciences,134,4,Male,3,1,Research Scientist,1,Single,2956.0,15178,1,False,13,3,4,1,2,3,1,0,0,0.0
34,False,Travel_Rarely,Research & Development,6,4,Other,138,1,Female,3,2,Research Scientist,3,Single,4809.0,12482,1,False,14,3,3,16,3,3,16,13,2,10.0
37,False,Non_Travel,Research & Development,2,2,Life Sciences,139,3,Male,2,2,Healthcare Representative,4,Divorced,5163.0,15850,5,False,14,3,4,17,2,4,1,0,0,3.0
59,False,Non_Travel,Human Resources,2,4,Human Resources,140,3,Female,2,5,Manager,4,Married,18844.0,21922,9,False,21,4,4,30,3,3,3,2,2,2.0
50,False,Travel_Frequently,Research & Development,1,3,Life Sciences,141,1,Female,3,5,Research Director,2,Married,18172.0,9755,3,True,19,3,1,28,1,2,8,3,0,7.0
25,False,Travel_Rarely,Research & Development,7,1,Medical,143,4,Male,2,1,Research Scientist,4,Married,2889.0,26897,1,False,11,3,3,2,2,3,2,2,2,1.0
22,False,Travel_Rarely,Research & Development,15,3,Medical,144,2,Female,3,1,Laboratory Technician,4,Single,2871.0,23785,1,False,15,3,3,1,5,3,0,0,0,0.0
51,False,Travel_Frequently,Research & Development,1,4,Medical,145,1,Female,2,3,Healthcare Representative,1,Single,7484.0,25796,3,False,20,4,3,23,3,2,13,12,12,8.0
54,False,Travel_Rarely,Human Resources,26,3,Human Resources,148,4,Female,4,4,Manager,4,Single,17328.0,13871,2,True,12,3,3,23,3,3,5,3,4,4.0
24,False,Travel_Rarely,Research & Development,18,1,Life Sciences,150,2,Male,3,1,Laboratory Technician,3,Married,2774.0,13257,0,False,12,3,3,6,2,3,5,3,1,2.0
34,False,Travel_Rarely,Research & Development,6,4,Unknown,151,3,Female,2,2,Research Scientist,2,Divorced,4505.0,15000,6,False,15,3,3,12,3,3,1,0,0,0.0
37,False,Travel_Rarely,Sales,3,3,Life Sciences,152,3,Male,3,3,Sales Executive,4,Single,7428.0,14506,2,False,12,3,1,12,3,3,5,3,1,3.0
34,False,Travel_Rarely,Research & Development,5,3,Medical,153,3,Female,2,3,Manager,1,Single,11631.0,5615,2,False,12,3,4,14,6,3,11,10,5,8.0
36,False,Travel_Frequently,Sales,11,2,Technical Degree,154,2,Female,3,3,Sales Executive,4,Married,9738.0,22952,0,False,14,3,3,10,6,3,9,7,2,8.0
36,False,Travel_Rarely,Research & Development,3,2,Life Sciences,155,1,Female,3,1,Laboratory Technician,4,Divorced,2835.0,2561,5,False,22,4,1,7,2,3,1,0,0,0.0
43,False,Travel_Frequently,Sales,26,2,Life Sciences,158,3,Male,3,4,Manager,4,Unknown,16959.0,19494,1,True,12,3,4,25,3,4,25,12,4,12.0
37,False,Travel_Frequently,Research & Development,23,3,Life Sciences,159,1,Male,1,1,Research Scientist,3,Divorced,2613.0,22310,1,False,25,4,3,10,2,2,10,7,0,3.0
33,False,Non_Travel,Sales,22,2,Marketing,160,3,Male,3,2,Sales Executive,2,Married,6146.0,15480,0,False,13,3,1,8,2,4,7,7,0,7.0
51,False,Travel_Rarely,Research & Development,6,3,Life Sciences,162,1,Male,3,5,Research Director,3,Single,19537.0,6462,7,False,13,3,3,23,5,3,20,18,15,15.0
26,False,Travel_Rarely,Research & Development,6,3,Other,164,3,Female,2,1,Research Scientist,2,Married,2368.0,23300,1,False,19,3,3,5,3,2,5,4,4,3.0
22,False,Travel_Rarely,Research & Development,2,1,Technical Degree,169,3,Male,3,1,Laboratory Technician,4,Unknown,2523.0,19299,0,False,14,3,3,3,2,3,2,1,2,1.0
49,False,Travel_Rarely,Research & Development,20,4,Medical,170,3,Female,3,2,Manufacturing Director,1,Married,6567.0,5549,1,False,14,3,3,16,2,2,15,11,5,11.0
43,False,Travel_Frequently,Research & Development,28,3,Medical,171,2,Female,4,1,Research Scientist,3,Single,4739.0,16090,4,False,12,3,4,18,2,3,3,2,1,2.0
37,False,Travel_Frequently,Sales,12,3,Marketing,174,3,Female,3,3,Sales Executive,4,Single,9208.0,6645,4,False,11,3,4,16,3,3,2,2,2,1.0
41,False,Travel_Rarely,Sales,9,1,Life Sciences,176,3,Male,3,3,Sales Executive,3,Unknown,8189.0,21196,3,True,13,3,3,12,2,3,9,7,0,7.0
26,False,Travel_Rarely,Human Resources,25,1,Life Sciences,177,3,Female,3,1,Human Resources,3,Married,2942.0,8916,1,False,23,4,4,8,3,3,8,7,5,7.0
36,False,Travel_Rarely,Research & Development,6,2,Medical,178,2,Male,3,2,Manufacturing Director,2,Divorced,4941.0,2819,6,False,20,4,4,7,0,3,3,2,0,1.0
39,False,Travel_Rarely,Sales,4,4,Life Sciences,182,4,Female,2,2,Sales Executive,3,Married,5902.0,14590,4,False,14,3,3,17,1,4,15,11,5,9.0
25,False,Travel_Rarely,Sales,28,3,Life Sciences,183,1,Male,2,2,Sales Executive,3,Married,8639.0,24835,2,False,18,3,4,6,3,3,2,2,2,2.0
30,False,Travel_Rarely,Human Resources,9,3,Human Resources,184,3,Male,3,2,Human Resources,4,Married,6347.0,13982,0,True,19,3,4,12,2,1,11,9,4,3.0
45,False,Travel_Rarely,Research & Development,29,3,Medical,192,3,Male,3,1,Research Scientist,4,Single,3452.0,9752,5,False,13,3,2,9,2,2,6,5,0,3.0
38,False,Travel_Rarely,Research & Development,3,5,Technical Degree,193,4,Female,3,2,Research Scientist,3,Single,4317.0,2302,3,True,20,4,2,19,2,3,3,2,2,2.0
30,False,Travel_Rarely,Research & Development,18,3,Life Sciences,194,1,Female,3,1,Research Scientist,3,Single,2632.0,23910,1,False,14,3,3,5,4,2,5,4,0,4.0
32,False,Travel_Frequently,Sales,9,2,Medical,195,4,Male,1,2,Sales Executive,4,Divorced,4668.0,22812,0,False,17,3,4,9,2,4,8,7,0,7.0
30,False,Travel_Rarely,Research & Development,5,3,Technical Degree,197,4,Female,3,1,Research Scientist,1,Divorced,3204.0,10415,5,False,14,3,4,8,3,3,3,2,2,2.0
30,False,Travel_Rarely,Research & Development,2,1,Medical,198,2,Male,2,1,Laboratory Technician,4,Single,2720.0,11162,0,False,13,3,4,6,3,3,5,3,1,2.0
41,False,Travel_Frequently,Research & Development,10,3,Life Sciences,199,4,Male,2,4,Manager,1,Divorced,17181.0,12888,4,False,13,3,2,21,2,2,7,6,7,7.0
41,False,Travel_Rarely,Research & Development,9,4,Life Sciences,200,3,Male,3,1,Laboratory Technician,1,Married,2238.0,6961,2,False,21,4,4,7,2,3,5,0,1,3.0
19,False,Travel_Rarely,Research & Development,3,1,Medical,201,2,Female,3,1,Laboratory Technician,2,Single,1483.0,16102,1,False,14,3,4,1,3,3,1,0,0,3.0
40,False,Travel_Frequently,Research & Development,26,3,Medical,202,2,Female,3,2,Research Scientist,2,Divorced,5605.0,8504,1,False,11,3,1,20,2,3,20,7,2,13.0
35,False,Travel_Rarely,Sales,1,5,Marketing,204,3,Male,3,3,Sales Executive,2,Married,7295.0,11439,1,False,13,3,1,10,3,3,10,8,0,6.0
53,False,Travel_Rarely,Sales,6,2,Unknown,205,2,Male,3,2,Sales Representative,3,Married,2306.0,16047,2,True,20,4,4,13,3,1,7,7,4,5.0
45,False,Travel_Rarely,Research & Development,9,3,Life Sciences,206,2,Male,3,2,Laboratory Technician,2,Divorced,2348.0,10901,8,False,18,3,3,20,2,1,17,9,0,15.0
32,False,Travel_Frequently,Sales,8,3,Marketing,207,2,Female,3,3,Sales Executive,4,Single,8998.0,15589,1,False,14,3,4,9,2,3,9,8,3,7.0
29,False,Non_Travel,Research & Development,1,1,Technical Degree,208,4,Male,3,2,Manufacturing Director,3,Married,4319.0,26283,1,False,13,3,1,10,1,3,10,7,0,9.0
51,False,Travel_Rarely,Research & Development,7,4,Medical,211,2,Male,2,2,Manufacturing Director,3,Married,6132.0,13983,2,False,17,3,3,10,2,3,1,0,0,3.0
58,False,Travel_Rarely,Research & Development,9,3,Medical,214,2,Female,2,1,Research Scientist,2,Married,3346.0,11873,4,True,20,4,2,9,3,2,1,0,0,3.0
40,False,Travel_Rarely,Sales,4,4,Marketing,215,3,Male,2,3,Sales Executive,4,Married,10855.0,8552,7,False,11,3,1,15,2,2,12,11,2,11.0
34,False,Travel_Frequently,Sales,2,4,Unknown,216,3,Female,3,1,Sales Representative,3,Married,2231.0,11314,6,False,18,3,4,6,3,3,4,3,1,2.0
22,False,Travel_Rarely,Research & Development,19,1,Medical,217,3,Male,3,1,Research Scientist,4,Married,2323.0,11992,1,False,24,4,1,2,6,3,2,2,2,2.0
27,False,Non_Travel,Research & Development,9,3,Medical,218,4,Male,3,1,Research Scientist,2,Divorced,2024.0,5970,6,False,18,3,4,6,1,1,2,2,2,2.0
28,False,Travel_Rarely,Research & Development,21,3,Medical,221,3,Male,3,1,Research Scientist,4,Married,2713.0,6672,1,False,11,3,3,5,2,1,5,2,0,2.0
57,False,Travel_Rarely,Research & Development,24,2,Life Sciences,223,3,Male,4,3,Healthcare Representative,4,Divorced,9439.0,23402,3,True,16,3,2,12,2,1,5,3,1,4.0
27,False,Non_Travel,Research & Development,3,3,Medical,224,3,Male,2,1,Research Scientist,3,Divorced,2566.0,25326,1,True,15,3,4,1,3,2,1,1,0,1.0
50,False,Travel_Rarely,Research & Development,11,3,Life Sciences,226,3,Female,3,5,Manager,2,Single,4907.0,17053,3,False,15,3,2,21,5,3,5,4,4,4.0
41,False,Travel_Rarely,Research & Development,14,3,Life Sciences,227,1,Male,3,1,Research Scientist,3,Divorced,2451.0,4609,4,False,12,3,1,13,2,3,9,8,1,8.0
30,False,Travel_Rarely,Sales,5,3,Life Sciences,228,2,Female,3,3,Sales Executive,4,Married,9419.0,8053,2,False,12,3,3,12,2,3,10,9,7,4.0
38,False,Travel_Rarely,Sales,1,4,Life Sciences,230,1,Female,2,2,Sales Executive,4,Single,8686.0,12930,4,False,22,4,3,12,2,4,8,3,0,7.0
32,False,Travel_Rarely,Research & Development,6,5,Life Sciences,231,3,Male,3,1,Research Scientist,3,Single,3038.0,12430,3,False,20,4,1,8,2,3,5,4,1,4.0
27,False,Travel_Rarely,Research & Development,17,3,Technical Degree,233,3,Male,3,1,Research Scientist,2,Unknown,3058.0,13364,0,True,16,3,4,6,3,2,5,2,1,1.0
36,False,Travel_Rarely,Research & Development,3,2,Medical,238,4,Male,3,1,Laboratory Technician,2,Single,2088.0,15062,4,False,12,3,3,13,3,2,8,7,7,2.0
30,False,Non_Travel,Research & Development,9,3,Medical,239,3,Male,3,2,Laboratory Technician,1,Divorced,3072.0,11012,1,False,11,3,3,12,3,3,12,9,6,3.0
45,False,Travel_Rarely,Sales,4,2,Unknown,240,3,Female,3,2,Sales Executive,1,Unknown,5006.0,6319,4,True,11,3,1,9,3,4,5,4,0,3.0
56,False,Travel_Rarely,Research & Development,8,3,Life Sciences,241,3,Female,3,1,Research Scientist,1,Divorced,4257.0,13939,4,True,18,3,3,19,3,3,2,2,2,2.0
33,False,Travel_Rarely,Research & Development,2,3,Life Sciences,242,3,Male,3,1,Research Scientist,4,Single,2500.0,10515,0,False,14,3,1,4,2,4,3,1,0,2.0
46,False,Travel_Rarely,Sales,1,2,Marketing,244,2,Female,3,3,Sales Executive,1,Divorced,10453.0,2137,1,False,25,4,3,24,2,3,24,13,15,7.0
38,False,Travel_Rarely,Research & Development,9,2,Life Sciences,245,3,Female,3,1,Laboratory Technician,4,Single,2288.0,6319,1,False,12,3,3,2,3,3,2,2,2,1.0
31,False,Travel_Rarely,Research & Development,12,1,Medical,246,3,Female,3,1,Research Scientist,4,Married,3929.0,6984,8,True,23,4,3,7,0,3,4,2,0,2.0
37,False,Travel_Rarely,Research & Development,27,2,Medical,247,4,Female,3,1,Research Scientist,2,Single,2311.0,5711,2,False,15,3,4,9,3,3,3,2,1,2.0
50,False,Travel_Rarely,Research & Development,1,3,Medical,249,3,Male,2,1,Laboratory Technician,3,Married,3690.0,3425,2,False,15,3,4,5,2,2,3,2,0,2.0
53,False,Travel_Rarely,Research & Development,13,2,Medical,250,4,Female,4,2,Manufacturing Director,1,Divorced,4450.0,26250,1,False,11,3,3,5,3,3,4,2,1,3.0
33,False,Travel_Rarely,Research & Development,14,3,Medical,252,4,Female,3,1,Research Scientist,2,Unknown,2756.0,4673,1,False,13,3,4,8,5,3,8,7,1,6.0
40,False,Travel_Rarely,Research & Development,4,1,Medical,253,4,Female,3,5,Manager,3,Married,19033.0,6499,1,False,14,3,2,21,2,3,20,8,9,9.0
